Table 1
Part of the Proton Pack,,,,,,,,,
,Item size,Number Required,Full Kit Total Units Needed,Part is Optional,Price *at the point of purchase,Number of items provided,Additional Notes,Download Link,My Purchased link
,,,,,,,,,
Main Control Board,,,,,,,,,
PCB,,x1,,* can be replaced with perf board,£5.78,x5,Note: minimum order at JLCPCB is x5.,https://github.com/rbalboa8/ProtonPack/tree/1.0.1-mychanges/Eagle%20PCB/PCB%20Files%20with%20corrections,https://jlcpcb.com
Perf Board,,x1,,* can be replaced with a custom PCB,,,,,
Female Header x6 Pin,,x2,,* used with the ,£2.43,x50,,,https://www.aliexpress.com/item/4000278469653.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
Female Header x8 pins,,x2,,,£2.43,x35,,,https://www.aliexpress.com/item/4000278469653.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
Female header x15 pins,,x2,,,£2.51,x20,,,https://www.aliexpress.com/item/4000278469653.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
MP1584EN 3A DC-DC Step down Supply Module,,x1,,,,,,,
7805 5V regulator,,x1,,,,,,,https://www.aliexpress.com/item/1005003330573093.html?spm=a2g0o.order_detail.0.0.2adff19cyiURv9
"2.54mm pitch, 3 pin PCB Screw Terminals Blocks Connector 300V10A",,x1,,,,,,,https://www.aliexpress.com/item/1005001711075410.html?spm=a2g0o.order_detail.0.0.611bf19c5qa03R
25v 1000uF Aluminum Electrolytic Capacitor,,x2,,,,,,,https://www.aliexpress.com/item/1005003372358814.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
104(0.1uF) 50v ceramic capacitor,,x2,,,,,,,https://www.aliexpress.com/item/1005002290441861.html?spm=a2g0o.order_detail.0.0.656ef19cXfzP69
0.33uF 63v Ceramic MLCC capacitor radial lead,,x1,,,,,,,https://www.ebay.com/itm/324083518242
1N4001 through hole diode,,x1,,,,x50,,,https://www.aliexpress.com/item/1005001552094086.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
Nano 3.0 Mini ATmega328 5v 16M Micro controller board - Arduino Clone,,x1,,,,,Uses the CH340 driver,,https://www.aliexpress.com/item/4000009207563.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
DFRobot DFR0299 DFPlayer Mini,,x1,,,,,You MUST get a genuine DFRobot version of this board as the code is not compatible with knock-off boards. This is due to difference in the serial command used for the busy signal of the different chipsets used.,,https://www.ebay.com/itm/384442636112
Rj45 PCB Mount Ethernet Socket,,x1,,,,,,,https://www.aliexpress.com/item/4000199999324.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
